,params,mean_train_Acc,mean_train_F1,mean_train_F2,mean_test_Acc,mean_test_F1,mean_test_F2
31,"{'C': 0.69, 'penalty': 'l1', 'solver': 'liblinear'}",0.6324901336317089,0.44992395249965866,0.5468718949171713,0.4966901686613737,0.30072233031531126,0.36401551988001135
32,"{'C': 0.6799999999999999, 'penalty': 'l1', 'solver': 'liblinear'}",0.6321707443093286,0.4495922916345873,0.5469097083615915,0.4996111308606865,0.3040007070944879,0.368814710419232
33,"{'C': 0.6699999999999999, 'penalty': 'l1', 'solver': 'liblinear'}",0.6323744382468212,0.44985828794060373,0.5475526320722519,0.4996111308606865,0.3040007070944879,0.368814710419232
34,"{'C': 0.6599999999999999, 'penalty': 'l1', 'solver': 'liblinear'}",0.6333857885802054,0.4509455843954056,0.5491538533059177,0.49893836157522614,0.30368016972061124,0.36863153835190726
35,"{'C': 0.6499999999999999, 'penalty': 'l1', 'solver': 'liblinear'}",0.6331155183099351,0.450636568414671,0.548725607881689,0.49972014851680685,0.30449506723487685,0.37004332588125055
36,"{'C': 0.64, 'penalty': 'l1', 'solver': 'liblinear'}",0.6332170092040481,0.45074646253806955,0.5490198543002403,0.49938509697041505,0.30424749220059727,0.369880151426839
37,"{'C': 0.63, 'penalty': 'l1', 'solver': 'liblinear'}",0.63330175496676,0.4508086921674452,0.5490602730896672,0.4990414543587313,0.30402337745384694,0.36977208771247305
38,"{'C': 0.62, 'penalty': 'l1', 'solver': 'liblinear'}",0.6337475999714285,0.4512426985262556,0.5495627453279911,0.49795325275506575,0.30292560924267664,0.3681690758634001
39,"{'C': 0.61, 'penalty': 'l1', 'solver': 'liblinear'}",0.6337643451028296,0.4512821718233606,0.549821725123884,0.49795325275506575,0.30292560924267664,0.3681690758634001
40,"{'C': 0.6, 'penalty': 'l1', 'solver': 'liblinear'}",0.634339088055439,0.45191874898825846,0.5511580308507404,0.49907009124303825,0.30430017968941203,0.3699602319290164
41,"{'C': 0.59, 'penalty': 'l1', 'solver': 'liblinear'}",0.6349116945602489,0.4525187608801071,0.5524483923043964,0.4987350396966465,0.30420445067615726,0.36991567720210256
42,"{'C': 0.5800000000000001, 'penalty': 'l1', 'solver': 'liblinear'}",0.6343184742212659,0.45192059219765285,0.5520863141364817,0.5001582928467038,0.30551463622470043,0.3716509570367184
43,"{'C': 0.5700000000000001, 'penalty': 'l1', 'solver': 'liblinear'}",0.633712069497214,0.45127627088063477,0.5514632444190769,0.49904145435873126,0.30441763163253943,0.37013520308530384
44,"{'C': 0.56, 'penalty': 'l1', 'solver': 'liblinear'}",0.6346311665603789,0.4523050480735092,0.553026270885211,0.49979460441600504,0.30577235722246193,0.37192045400948
45,"{'C': 0.55, 'penalty': 'l1', 'solver': 'liblinear'}",0.6349876068918942,0.452649911256419,0.5534784717875363,0.4987867835841529,0.3051700277274911,0.3715442852723405
46,"{'C': 0.54, 'penalty': 'l1', 'solver': 'liblinear'}",0.6350286046622039,0.45271726673540236,0.553989531397095,0.498795374649445,0.3053566807328857,0.3716240388897901
47,"{'C': 0.53, 'penalty': 'l1', 'solver': 'liblinear'}",0.6358561606044159,0.4535849488546679,0.555442065883343,0.4984576569103764,0.30507881229328543,0.37146938102122434
48,"{'C': 0.52, 'penalty': 'l1', 'solver': 'liblinear'}",0.6363133796807776,0.4541085236459495,0.5562279733682144,0.4992022159023581,0.30616734117562877,0.37309846751992887
49,"{'C': 0.51, 'penalty': 'l1', 'solver': 'liblinear'}",0.6355695493955713,0.45339088623850893,0.5560159807636533,0.5014072559939962,0.30894353642249583,0.3766411861537741
50,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.6366666634587871,0.45456649181234077,0.5578932660496676,0.5003190543903306,0.3077682786905371,0.3749793398133347
51,"{'C': 0.49, 'penalty': 'l1', 'solver': 'liblinear'}",0.6357038184032202,0.453516344543609,0.5567948649516746,0.5018740372082,0.30955116970675245,0.3779101796401993
52,"{'C': 0.48, 'penalty': 'l1', 'solver': 'liblinear'}",0.6357205635346213,0.45354748986769566,0.5570480331339661,0.5022176798198839,0.31018907207033836,0.37918097439338183
53,"{'C': 0.47, 'penalty': 'l1', 'solver': 'liblinear'}",0.6351725154865733,0.4529567453871913,0.5562105945087853,0.5033345183078564,0.31145800109788807,0.380869704726466
54,"{'C': 0.45999999999999996, 'penalty': 'l1', 'solver': 'liblinear'}",0.6347676682522145,0.4525123469743268,0.5561663817529365,0.5023181064107122,0.3107716780333212,0.38044426309660734
55,"{'C': 0.44999999999999996, 'penalty': 'l1', 'solver': 'liblinear'}",0.6334750777696939,0.4511631637104667,0.5551150714194405,0.5023181064107122,0.31070382413503717,0.38040558470741354
56,"{'C': 0.43999999999999995, 'penalty': 'l1', 'solver': 'liblinear'}",0.632902875457711,0.450620946434776,0.5550296917403152,0.5030913022870008,0.3121772046291521,0.3822949249364794
57,"{'C': 0.42999999999999994, 'penalty': 'l1', 'solver': 'liblinear'}",0.6328758725967101,0.45062179176899647,0.5557203053482822,0.5045722241971797,0.31416318634413964,0.38530465322068425
58,"{'C': 0.42000000000000004, 'penalty': 'l1', 'solver': 'liblinear'}",0.6316854851575688,0.4494518432463996,0.5549897961608533,0.507017221629735,0.3163740385611529,0.38750579092204834
59,"{'C': 0.41000000000000003, 'penalty': 'l1', 'solver': 'liblinear'}",0.6313950073845388,0.449194394263209,0.5552870375676778,0.5074500335742781,0.3175211130083028,0.3892059250745532
60,"{'C': 0.4, 'penalty': 'l1', 'solver': 'liblinear'}",0.6310824134203995,0.44891135067422316,0.5553560018924797,0.5067745980961409,0.3170257341081491,0.3889606289511235
61,"{'C': 0.39, 'penalty': 'l1', 'solver': 'liblinear'}",0.6314206843219804,0.44920842606689265,0.5555217997889591,0.5065140024489473,0.31711128508144776,0.3900458066593513
62,"{'C': 0.38, 'penalty': 'l1', 'solver': 'liblinear'}",0.6313840375056725,0.44923626069823586,0.5562130119129105,0.5087476794248924,0.3202072041274832,0.3938744107418748
63,"{'C': 0.37, 'penalty': 'l1', 'solver': 'liblinear'}",0.6313402895132705,0.4491510337882808,0.5566079009828667,0.5079971955602954,0.3192117795671297,0.392353192019805
64,"{'C': 0.36, 'penalty': 'l1', 'solver': 'liblinear'}",0.6314759828194524,0.4493700229072898,0.557420499507521,0.5098845637318798,0.3215033271395162,0.39565338875570794
65,"{'C': 0.35, 'penalty': 'l1', 'solver': 'liblinear'}",0.6305626610088225,0.44847942540327196,0.5570710136704006,0.5102946636647312,0.32201745403060406,0.3969462268501525
66,"{'C': 0.33999999999999997, 'penalty': 'l1', 'solver': 'liblinear'}",0.6293200001026522,0.44739970739758816,0.5566067132875903,0.5135306315914209,0.3258585229060102,0.4021048544918807
67,"{'C': 0.32999999999999996, 'penalty': 'l1', 'solver': 'liblinear'}",0.6289290494026286,0.4472359587505202,0.5569530896237678,0.5128605284986373,0.3251672036178605,0.4015859858827092
68,"{'C': 0.31999999999999995, 'penalty': 'l1', 'solver': 'liblinear'}",0.6274103429736531,0.4456053226333199,0.5548049641357844,0.5117868428328791,0.3242497753249704,0.40101952168189287
69,"{'C': 0.30999999999999994, 'penalty': 'l1', 'solver': 'liblinear'}",0.6280933721786165,0.4463179182571688,0.5563689216187543,0.5121337441245014,0.3256677277073786,0.4027693149901541
70,"{'C': 0.29999999999999993, 'penalty': 'l1', 'solver': 'liblinear'}",0.6295837519616183,0.4479174044423862,0.5587781797199558,0.515048583955445,0.3292320492434158,0.40761663429857353
71,"{'C': 0.29000000000000004, 'penalty': 'l1', 'solver': 'liblinear'}",0.6290571079554129,0.447381241908963,0.5581959304870698,0.5129498953272505,0.3274067063659933,0.40553725336310864
72,"{'C': 0.28, 'penalty': 'l1', 'solver': 'liblinear'}",0.6278179094206013,0.44611443842154613,0.5567422977552584,0.5169676501955208,0.3321319896047182,0.4121011437440574
73,"{'C': 0.27, 'penalty': 'l1', 'solver': 'liblinear'}",0.6262155735710073,0.4445719997894287,0.5557799726353826,0.5199002646443102,0.33608766734367074,0.41809487896009884
74,"{'C': 0.26, 'penalty': 'l1', 'solver': 'liblinear'}",0.6244928652480994,0.44288936867967216,0.5542656661643593,0.5232301418019514,0.34030620644995324,0.4233642970803266
75,"{'C': 0.25, 'penalty': 'l1', 'solver': 'liblinear'}",0.6239690698389603,0.4423809928907621,0.5537114195206335,0.5229464391515583,0.34076908809758927,0.4245827811891559
76,"{'C': 0.24, 'penalty': 'l1', 'solver': 'liblinear'}",0.6212553972573912,0.4396622729946884,0.5506500524604702,0.5228605284986373,0.3410569554153179,0.4255305152284662
77,"{'C': 0.22999999999999998, 'penalty': 'l1', 'solver': 'liblinear'}",0.6192541990074392,0.43779605386874626,0.5487845756974128,0.5229846545799266,0.3416649885034618,0.42754360917008194
78,"{'C': 0.21999999999999997, 'penalty': 'l1', 'solver': 'liblinear'}",0.6186944689312586,0.43732551094574146,0.5489342994148546,0.5265724611920845,0.34507231547753364,0.43125500520949855
79,"{'C': 0.20999999999999996, 'penalty': 'l1', 'solver': 'liblinear'}",0.6161231064421493,0.43472700985554774,0.5459558123550274,0.5265617964213769,0.3453043258560298,0.43141935100383505
80,"{'C': 0.19999999999999996, 'penalty': 'l1', 'solver': 'liblinear'}",0.6150454855938405,0.43372022789476344,0.5448579383987431,0.5296828218193309,0.34893648101351027,0.4353866625566803
81,"{'C': 0.18999999999999995, 'penalty': 'l1', 'solver': 'liblinear'}",0.6123257298032971,0.4309370045353726,0.5417547271740303,0.5348752814314492,0.3543108039810411,0.443261993882839
82,"{'C': 0.17999999999999994, 'penalty': 'l1', 'solver': 'liblinear'}",0.6097362780812431,0.42819077145860956,0.5382497943168794,0.539250799857803,0.35836790887023884,0.4485425708795744
83,"{'C': 0.16999999999999993, 'penalty': 'l1', 'solver': 'liblinear'}",0.608388873491067,0.4269173418368061,0.5363485637286891,0.5367280878461114,0.3549053638089062,0.4447433003654596
84,"{'C': 0.16000000000000003, 'penalty': 'l1', 'solver': 'liblinear'}",0.608048890651084,0.4267925427931929,0.5371626762107092,0.54487814511988,0.36414014469867434,0.45510762069933697
85,"{'C': 0.15000000000000002, 'penalty': 'l1', 'solver': 'liblinear'}",0.6077155844777979,0.426626403738439,0.5372484257965192,0.547704013113718,0.3672422224106502,0.4588524750024906
86,"{'C': 0.14, 'penalty': 'l1', 'solver': 'liblinear'}",0.6068050128892601,0.42565359919951434,0.5359820492930347,0.5516366473120827,0.3711508548190662,0.46411090613294814
87,"{'C': 0.13, 'penalty': 'l1', 'solver': 'liblinear'}",0.6004490539535405,0.4193447513687969,0.5279771795835806,0.5503862029466366,0.3701383311601224,0.463538995260845
88,"{'C': 0.12, 'penalty': 'l1', 'solver': 'liblinear'}",0.5998483464236206,0.4187177838299836,0.5274133881571842,0.5565549828178693,0.3766404375241601,0.4736538222056364
89,"{'C': 0.10999999999999999, 'penalty': 'l1', 'solver': 'liblinear'}",0.597347911221291,0.41645796343019825,0.5255605754376931,0.5615402693842082,0.38183164709527984,0.480627412356771
90,"{'C': 0.09999999999999998, 'penalty': 'l1', 'solver': 'liblinear'}",0.5946278496128944,0.4138087992128315,0.5223815015702196,0.5644931271477662,0.38402796496466196,0.48557257207179694
91,"{'C': 0.08999999999999997, 'penalty': 'l1', 'solver': 'liblinear'}",0.5951253543102994,0.4143642411442199,0.5236371928565698,0.5746872654737922,0.3947980121488206,0.49766775325460705
92,"{'C': 0.07999999999999996, 'penalty': 'l1', 'solver': 'liblinear'}",0.5948174577511567,0.4141643025594368,0.5247197550053857,0.5795019157088122,0.3991167778724688,0.5068017895996028
93,"{'C': 0.06999999999999995, 'penalty': 'l1', 'solver': 'liblinear'}",0.5968403840387889,0.41650139549011983,0.5284190408503084,0.5862544930283999,0.40486747034906095,0.5148093579900246
94,"{'C': 0.05999999999999994, 'penalty': 'l1', 'solver': 'liblinear'}",0.5988356958297139,0.41855304457871667,0.5321860913173105,0.598690899395663,0.41756605275683384,0.5301329848830695
95,"{'C': 0.04999999999999993, 'penalty': 'l1', 'solver': 'liblinear'}",0.5985246790730341,0.41194042796893593,0.5242163491818276,0.5947106687206226,0.4076067295833691,0.5168070291172814
96,"{'C': 0.040000000000000036, 'penalty': 'l1', 'solver': 'liblinear'}",0.5952042157525708,0.3959483677588623,0.5043154645160347,0.5881064107121697,0.388672021679589,0.49078837423264715
97,"{'C': 0.030000000000000027, 'penalty': 'l1', 'solver': 'liblinear'}",0.5850440324243914,0.3409965009122585,0.43437376291690405,0.5591185764506064,0.31444668249690894,0.3970196575379433
98,"{'C': 0.020000000000000018, 'penalty': 'l1', 'solver': 'liblinear'}",0.5369479506568241,0.13264891281152408,0.16860633033307135,0.5020626456531184,0.09965248028273382,0.12698218516778756
99,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",0.5,0.0,0.0,0.5,0.0,0.0
