SampleID,Actinomyces oris,Desulfomicrobium orale,Enterobacter hormaechei,Enterobacter kobei,Enterobacter ludwigii,Fusobacterium nucleatum,Haemophilus aegyptius,Haemophilus haemolyticus,Haemophilus influenzae,Haemophilus parahaemolyticus,Klebsiella oxytoca,Klebsiella pneumoniae,Lactobacillus paracasei,Leptotrichia wadei,Neisseria flavescens,Prevotella denticola,Prevotella intermedia,Prevotella jejuni,Proteus mirabilis,Pseudomonas aeruginosa,Rothia dentocariosa,Salmonella enterica,Serratia liquefaciens,Stenotrophomonas maltophilia,Streptococcus intermedius,Streptococcus oralis,Veillonella parvula
CH0050,1.2959696890282406,-2.105227692633915,-1.0066154039658048,-2.105227692633915,-2.105227692633915,1.7659733182739763,0.09199688470230516,1.1528688453875677,4.893281949616687,2.198837400570255,-2.105227692633915,-0.1593175435786014,-1.0066154039658048,0.7851440652622497,2.4165608844151256,0.8392112865325254,1.7234137038551807,-1.4120805120739695,-2.105227692633915,-0.49578978019981434,1.608344374070393,-1.4120805120739695,-2.105227692633915,-2.105227692633915,-1.0066154039658048,2.0844270493925108,0.37967895715408595
CH0055,1.4344010953263409,-1.8978034148488634,1.2376908010802863,-1.204656234288918,0.1816381268309728,0.2994211624873566,-1.8978034148488634,-1.8978034148488634,0.6671459426126738,0.8747853073909182,1.3210724100193376,6.8662498544989,-1.8978034148488634,-1.204656234288918,-1.204656234288918,-1.8978034148488634,1.7131144977953614,-0.5115090537289726,-1.8978034148488634,-1.204656234288918,0.048106734206450064,1.5987041466176173,2.1797340290568563,-0.2883655024147629,-1.204656234288918,0.992568343047302,-1.204656234288918
DU0002,-1.2381614934004048,-1.2381614934004048,-1.2381614934004048,-1.2381614934004048,-1.2381614934004048,-0.1395492047322957,3.1806791143961926,3.5067706349628445,7.749660132030409,0.3712764190336948,-1.2381614934004048,0.3712764190336948,-1.2381614934004048,0.3712764190336948,0.3712764190336948,0.14813286771948508,-1.2381614934004048,-0.5450143128404594,-1.2381614934004048,0.8412800482794305,-1.2381614934004048,-0.1395492047322957,-1.2381614934004048,-1.2381614934004048,-1.2381614934004048,0.5535979758276497,-0.5450143128404594
DU0004,1.3526394468817857,-1.7384030064765303,-0.35210864535663955,-1.7384030064765303,-1.7384030064765303,0.34103853520330585,-1.7384030064765303,1.257329267077461,3.599135073224788,-1.7384030064765303,-1.7384030064765303,3.089910730825771,-1.7384030064765303,-1.045255825916585,-1.7384030064765303,0.6594922663218403,-0.6397907178084203,1.5196935315449522,-1.7384030064765303,-0.12896509404242984,-0.12896509404242984,0.45882157085968966,-1.7384030064765303,-0.6397907178084203,1.257329267077461,4.671771875489637,2.1117445952335285
DU0005,-1.3064737045296129,-1.3064737045296129,-1.3064737045296129,-1.3064737045296129,-1.3064737045296129,1.3325836250856455,-0.6133265239696675,-0.20786141586150286,3.159434414124971,-1.3064737045296129,-1.3064737045296129,0.07982065659027793,-1.3064737045296129,-1.3064737045296129,-1.3064737045296129,-0.6133265239696675,-0.6133265239696675,1.1784329452583875,-1.3064737045296129,0.48528576469844165,2.0947236771325426,0.9961113884644326,-1.3064737045296129,-0.20786141586150286,2.0947236771325426,4.3530085112300085,2.1592621982701137
DU0007,0.14485130325701912,-1.2414430578628717,-1.2414430578628717,-1.2414430578628717,-1.2414430578628717,-0.5482958773029263,-1.2414430578628717,0.7044670911924418,1.7542892156911192,2.1258527721236025,-1.2414430578628717,1.4666071432393384,-1.2414430578628717,0.3679948545712288,0.9557815194733479,-1.2414430578628717,0.7044670911924418,1.5917702861933445,-1.2414430578628717,1.936610772485074,0.8379984838169645,-1.2414430578628717,-1.2414430578628717,0.5503164113651833,-0.14283076919476168,0.8379984838169645,0.3679948545712288
DU0010,2.1909660350001596,-2.453424864141213,-2.453424864141213,-2.453424864141213,-2.453424864141213,1.0729356604749487,2.398605399778405,3.8816293873568464,7.224478661541346,2.3087490706565434,-2.453424864141213,-0.8439869517071115,-2.453424864141213,2.7560612887002085,-1.067130503021322,-2.453424864141213,-0.6616653949131583,-1.067130503021322,-2.453424864141213,-2.453424864141213,-0.5075147150858994,-0.25620028680499374,-2.453424864141213,-1.067130503021322,3.2095356159947332,4.014273861963141,0.947772517520943
DU0012,1.1670008373649612,-1.2308944354334095,-1.2308944354334095,-1.2308944354334095,-1.2308944354334095,-0.13228214676529948,-1.2308944354334095,0.378543477000691,3.059565005714982,1.4771557656688006,-1.2308944354334095,2.4826776312708985,-1.2308944354334095,0.378543477000691,1.6594773224627555,-1.2308944354334095,-1.2308944354334095,-1.2308944354334095,-1.2308944354334095,4.615544339624315,-0.5377472548734641,-1.2308944354334095,0.1553999256864813,0.715015713621904,-1.2308944354334095,0.715015713621904,-0.13228214676529948
DU0013,1.3102358845222715,-1.2547134729392653,-1.2547134729392653,-1.2547134729392653,-1.2547134729392653,0.5370459962887897,-1.2547134729392653,0.6911966761160482,0.8247280687405705,1.4533367281629448,-1.2547134729392653,1.689725506227175,-1.2547134729392653,-0.15610118427115527,1.578499871116951,1.5178752493005159,-1.2547134729392653,0.13158088818062508,-1.2547134729392653,2.4829561453441027,0.5370459962887897,-0.15610118427115527,-1.2547134729392653,-1.2547134729392653,-1.2547134729392653,1.3843438566759936,1.230193176848735
DU0017,0.9771441428744385,-1.7954445793653422,-0.6968322906972331,-1.7954445793653422,-1.7954445793653422,-0.6968322906972331,-0.4091502182454523,2.264998431181077,5.371593297546878,-0.6968322906972331,-1.7954445793653422,-0.6968322906972331,-1.7954445793653422,-1.7954445793653422,2.3634385039943293,-0.6968322906972331,-0.18600666693124168,-0.18600666693124168,-1.7954445793653422,1.037768764690874,1.8154733332788822,-0.4091502182454523,-1.7954445793653422,-1.1022973988053968,1.893434874748594,3.646973131156451,0.7695047780961941
