"","Haemophilus_influenzae","Pseudomonas_aeruginosa","Haemophilus_aegyptius","Prevotella_jejuni","Leptotrichia_wadei","Proteus_mirabilis","Enterobacter_ludwigii","Haemophilus_parahaemolyticus","Klebsiella_pneumoniae","Streptococcus_oralis","Enterobacter_kobei","Haemophilus_haemolyticus","Actinomyces_oris","Klebsiella_oxytoca","Salmonella_enterica"
"SG0028",0.60882800608828,0.507356671740233,0,1.42059868087265,5.2257737189244,0,0,2.63825469304921,0.15220700152207,2.181633688483,0,1.06544901065449,0.101471334348047,0,0
"TT0014",1.58730158730159,12.6984126984127,0,0,0,0,0,0,3.17460317460317,4.76190476190476,0,0,0,0,0
"KL0004",0.0493827160493827,15.8271604938272,0,0.320987654320988,0,0,0,0,2.24691358024691,5.60493827160494,0,0,0.0740740740740741,0,0.0493827160493827
"TT0063",4.26379906752895,0.0375996390434652,0.0225597834260791,6.82809445029328,0.736952925251918,0,0,0.210557978643405,0.0150398556173861,3.24860881335539,0,0.353436607008573,0.413596029478117,0,0.0526394946608513
"SG0002",17.3482032218092,0.123915737298637,0.0929368029739777,0.278810408921933,0.0309789343246592,0,0,0,0,0.836431226765799,0,0.0309789343246592,0,0,0
"CH0006",0,0,0,4.34782608695652,0,0,0,7.2463768115942,2.89855072463768,0,0,0,0,0,0
"CH0035",0.0745341614906832,0.267080745341615,0,0.565217391304348,2.04347826086956,0,0,0.0869565217391304,1.09316770186335,6.33540372670807,0,0.173913043478261,1.07453416149068,0,0.0434782608695652
"KL0013",0.0630517023959647,25.6830601092896,0,0,0,0,0,0,1.29255989911728,0.0105086170659941,0,0,0,0.0105086170659941,0
"CH0039",6.59340659340659,1.0989010989011,0,0,0,0,0,0,0,0,0,0,0,0,0
"TT0021",0.678163146677001,0.155008719240457,0,0.0775043596202286,0.213136988955629,0,0.0193760899050572,16.0046502615772,0.523154427436543,1.41445456306917,0,0.193760899050572,0.193760899050572,0,0.251889168765743
"TT0067",0.547445255474453,0.182481751824818,0,0,0,0,0,16.0583941605839,0,3.7712895377129,0,0,1.39902676399027,0,0
"TT0061",1.54048933190543,0,0.0247137325974133,0.337754345497982,11.3765549056759,0,0,0.00823791086580443,0.00823791086580443,1.1203558777494,0,0.00823791086580443,1.77115083614795,0,0.057665376060631
"SG0025",0.121265571601808,0.0440965714915665,0,0,0.0220482857457833,0,0.0330724286186749,0,92.5807518465439,0,0.0110241428728916,0,0,0.396869143424099,0.352772571932532
"AL0003",5.55555555555556,10.3174603174603,0,0,0,0,0,0,0,0,0,0,2.38095238095238,0,0
"TT0069",0.0493137174323991,0.0493137174323991,0,0.0246568587161996,0.830114243445385,0,0,0.00821895290539985,0.246568587161996,0.953398537026383,0,0.00821895290539985,5.02178022519931,0,0.00821895290539985
"TT0049",69.9895615866388,0.887265135699374,1.46137787056367,0,0.156576200417537,0,0,0.939457202505219,1.20041753653445,2.08768267223382,0,0.521920668058455,0.0521920668058455,0,0.208768267223382
"TT0042",3.41085271317829,11.7829457364341,0,0,0,0,0,1.3953488372093,0.465116279069767,0,0,1.70542635658915,0,0,0
"TT0059",1.8005540166205,0.277008310249307,0,1.98522622345337,1.15420129270545,0,0.0461680517082179,1.13111726685134,0.738688827331487,1.66204986149584,0,0.300092336103416,1.82363804247461,0.023084025854109,0.554016620498615
"TT0016",54.7248182762201,0.207684319833853,0.363447559709242,0.0519210799584631,1.92107995846314,0,0,1.81723779854621,0,1.24610591900312,0,1.03842159916926,0.363447559709242,0,0.0519210799584631
"KL0010",0.461721775394698,0.15638963360143,0,0.260649389335716,1.48942508191838,0,0,0.141495382782246,0.0074471254095919,1.95114685731308,0,0.379803395889187,0.148942508191838,0,0.0372356270479595
"TT0018",0.499265785609398,14.2217327459618,0,1.02790014684288,1.18208516886931,0,0,0.190895741556535,0.624082232011747,1.74743024963289,0,0.345080763582966,0.139500734214391,0,0.0440528634361234
"TT0048",0.451127819548872,5.11278195488722,0,3.35839598997494,1.10275689223058,0,0,0.300751879699248,0.50125313283208,0.601503759398496,0,0.150375939849624,1.55388471177945,0,0.300751879699248
