,Class_average Accuracy,n_estimators,max_depth,min_samples_split,min_samples_leaf,training_Acc
37,0.6260584376863447,150,4,7,8,0.8782383419689116
38,0.5991055456171736,150,4,8,8,0.8788793333689436
39,0.6106738223017293,150,4,9,8,0.8787457934939371
40,0.6336911150864639,150,4,10,8,0.877944554243897
41,0.614490161001789,150,4,11,8,0.8777041824688849
42,0.6028622540250448,150,4,6,9,0.8730035788686501
43,0.6376267143709005,150,4,7,9,0.8739383579936968
44,0.6145497912939774,150,4,8,9,0.8742321457187112
45,0.6298151460942158,150,4,9,9,0.8719619678435978
46,0.6376863446630888,150,4,10,9,0.8740986058437047
47,0.5874776386404293,150,4,11,9,0.8723892954436192
48,0.6298747763864043,150,4,6,10,0.869825329843491
49,0.610494931425164,150,4,7,10,0.8697986218684898
50,0.6028622540250448,150,4,8,10,0.867768815768388
51,0.5990459153249851,150,4,9,10,0.8694781261684735
52,0.5989862850327967,150,4,10,10,0.8686501789434321
53,0.6259988073941563,150,4,11,10,0.8682228513434109
54,0.6068574836016696,150,4,6,11,0.8637092035681853
55,0.6067382230172929,150,4,7,11,0.864483734843224
56,0.5912939773404889,150,4,8,11,0.8649377704182466
57,0.6260584376863447,150,4,9,11,0.8628812563431438
58,0.6220632081097197,150,4,10,11,0.8637626195181879
59,0.6105545617173525,150,4,11,11,0.8648576464932428
60,0.595169946332737,150,4,6,12,0.8597297152929864
61,0.595169946332737,150,4,7,12,0.8601303349180064
62,0.6106141920095409,150,4,8,12,0.8603707066930183
63,0.6259391771019678,150,4,9,12,0.860263874793013
64,0.6183064997018486,150,4,10,12,0.8605576625180278
65,0.5952295766249255,150,4,11,12,0.8620800170931038
66,0.6069767441860465,150,5,6,2,0.9578548154478927
67,0.6263565891472869,150,5,7,2,0.956118797072806
68,0.6146094215861657,150,5,8,2,0.9522461406976123
69,0.5992248062015504,150,5,9,2,0.9496821750974842
70,0.649314251639833,150,5,10,2,0.9461033064473051
71,0.6340488968395945,150,5,11,2,0.9426312696971314
72,0.5992844364937389,150,5,6,3,0.9531007958976551
73,0.6339296362552177,150,5,7,3,0.9498691309224934
74,0.6339296362552177,150,5,8,3,0.9468778377223439
75,0.6376863446630888,150,5,9,3,0.9444741199722236
76,0.6261776982707216,150,5,10,3,0.9409486672720473
77,0.6223613595706619,150,5,11,3,0.9374766305218737
78,0.6339296362552177,150,5,6,4,0.9438331285721916
79,0.6300536672629696,150,5,7,4,0.9430853052721543
80,0.6262373285629099,150,5,8,4,0.94140270284707
81,0.6146094215861657,150,5,9,4,0.9395331445969766
82,0.6570661896243292,150,5,10,4,0.9376902943218846
83,0.6223017292784735,150,5,11,4,0.9343785054217189
84,0.6223613595706619,150,5,6,5,0.9318946637465946
85,0.6146690518783542,150,5,7,5,0.9326959029966347
86,0.5992248062015504,150,5,8,5,0.9343250894717162
87,0.6416219439475254,150,5,9,5,0.9336840980716841
88,0.5875968992248062,150,5,10,5,0.9325089471716255
89,0.5954084675014908,150,5,11,5,0.9294375300464718
90,0.6299344066785927,150,5,6,6,0.9211313498210565
91,0.6338700059630292,150,5,7,6,0.9215853853960791
92,0.5991055456171736,150,5,8,6,0.920383526521019
93,0.6184853905784138,150,5,9,6,0.9217723412210885
94,0.5954084675014908,150,5,10,6,0.9232946957961646
95,0.6184853905784138,150,5,11,6,0.9228139522461406
96,0.606917113893858,150,5,6,7,0.9111692751455585
97,0.6068574836016696,150,5,7,7,0.9114897708455744
98,0.6184257602862254,150,5,8,7,0.9104214518455209
99,0.6146094215861657,150,5,9,7,0.9110090272955502
100,0.6185450208706023,150,5,10,7,0.9119705143955984
101,0.6299940369707812,150,5,11,7,0.9122375941456117
102,0.6338103756708408,150,5,6,8,0.901981731745099
103,0.6144305307096005,150,5,7,8,0.9015009881950748
104,0.5952295766249255,150,5,8,8,0.9011537845200575
105,0.5990459153249851,150,5,9,8,0.8998985096949947
106,0.5991055456171736,150,5,10,8,0.9008065808450401
107,0.606917113893858,150,5,11,8,0.901821483895091
108,0.614490161001789,150,5,6,9,0.8917792852945888
109,0.6299344066785927,150,5,7,9,0.8925271085946261
110,0.6106141920095409,150,5,8,9,0.8917792852945888
111,0.6067978533094812,150,5,9,9,0.8910848779445542
112,0.6067978533094812,150,5,10,9,0.8906308423695313
113,0.5990459153249851,150,5,11,9,0.8915122055445754
114,0.6183661299940371,150,5,6,10,0.8830991934191547
115,0.6145497912939774,150,5,7,10,0.8833929811441695
116,0.6608228980322004,150,5,8,10,0.8843811762192189
117,0.6415026833631485,150,5,9,10,0.882965653544148
118,0.6183661299940371,150,5,10,10,0.8849153357192454
119,0.6068574836016696,150,5,11,10,0.8833662731691678
120,0.5991651759093619,150,5,6,11,0.8759681640937982
121,0.595289206917114,150,5,7,11,0.8758613321937928
122,0.6029815146094216,150,5,8,11,0.8757812082687888
123,0.6221824686940967,150,5,9,11,0.8751669248437581
124,0.6107334525939176,150,5,10,11,0.8749265530687461
125,0.5991055456171736,150,5,11,11,0.8754874205437742
126,0.6145497912939774,150,5,6,12,0.8694514181934723
127,0.6259988073941563,150,5,7,12,0.8692377543934615
128,0.6298747763864043,150,5,8,12,0.8675818599433789
129,0.6183064997018486,150,5,9,12,0.8698520378184923
130,0.5952295766249255,150,5,10,12,0.8696917899684844
131,0.6067978533094812,150,5,11,12,0.8681694353934083
132,0.6340488968395945,150,6,6,2,0.9821323647241067
133,0.58783542039356,150,6,7,2,0.9783665402489184
134,0.5762075134168158,150,6,8,2,0.9771112654238556
135,0.6378056052474658,150,6,9,2,0.9728379894236419
136,0.6032200357781754,150,6,10,2,0.969259120773463
137,0.6108527131782946,150,6,11,2,0.9660274557983014
138,0.6031604054859869,150,6,6,3,0.9762833181988142
139,0.5994036970781157,150,6,7,3,0.9739864323486993
140,0.6108527131782946,150,6,8,3,0.9705678115485286
