,params,mean_train_Acc,mean_test_Acc
52,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.02136734693877551, 'n_estimators': 150}",1.0,0.5170227515108425
53,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.031551020408163266, 'n_estimators': 150}",0.9999159663865547,0.5152980210925465
54,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.04173469387755102, 'n_estimators': 150}",0.9975956867706618,0.5281546984239839
55,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.051918367346938776, 'n_estimators': 150}",0.996203029692561,0.5273979934431411
56,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.06210204081632653, 'n_estimators': 150}",0.9941494596006061,0.5306051269897697
57,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.07228571428571429, 'n_estimators': 150}",0.9876337536083298,0.5268470790378007
58,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.08246938775510204, 'n_estimators': 150}",0.9839462147662548,0.5288146304854445
59,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.0926530612244898, 'n_estimators': 150}",0.9776546871611678,0.5403122407868232
60,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.10283673469387755, 'n_estimators': 150}",0.9714460746888463,0.5427876525654698
61,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.1130204081632653, 'n_estimators': 150}",0.9611740988959334,0.5466643954654974
62,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.12320408163265306, 'n_estimators': 150}",0.9506015864889243,0.5463860252004583
63,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.13338775510204082, 'n_estimators': 150}",0.9395615192175513,0.5478560848441758
64,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.14357142857142857, 'n_estimators': 150}",0.9304599201109669,0.5499393688035707
